activity_matched_words,name,activities,latest_income,region,district,website,dk_priority,cause_ids,causes
digit,Storybook Dads,"Storybook Dads operates in approx 90 prisons and enables imprisoned parents to send CDs and DVDs of themselves reading a story to their children.  HMP Channings Wood houses the main ediitng suite in which selected prisoners are trained to edit and enhace the recordings with digital software, thereby teaching them valuable and transferrable IT skills.",122191.0,South West,Teignbridge,www.storybookdads.org.uk,0,"[102, 109, 117]","['Education/training', 'Arts/culture/heritage/science', 'Other charitable purposes']"
analysi,The British Institute Of Human Rights,"Provide information and other resources 
 Develop and deliver training and consultancy 
 Lead and/or collaborate on demonstration and pilot projects across the voluntary and community and public sectors 
 Undertake research and policy analysis 
 Lobby national government and Parliament, conduct media activity and campaigns and occasional strategic legal interventions",449211.0,London,Tower Hamlets,www.bihr.org.uk,0,"[102, 117]","['Education/training', 'Other charitable purposes']"
digit,Family Matters Institute,"FMI seeks to increase the value society places on the family through its research, training and digitally tailored services. FMI aims to embed best practice into family life and relationships, bringing direct benefit to children, young people and families. FMI is recognised by key players as a leader in influencing social policy for families and children, and delivering tailored service solutions.",286088.0,East of England,Central Bedfordshire,www.familymatters.org.uk,0,"[113, 102, 103]","['Economic/community development/employment', 'Education/training', 'The advancement of health or saving of lives']"
grantmak,Bread And Water For Africa Uk,"The main areas of activity are:
- sustainable grant-making through partnerships with grass-roots non-governmental organisations (NGOs) in Africa;
- Education and development programmes (website, programme tour/safari, programme conference and newsletter);
- Research/ fact-finding site visits to Africa.",218901.0,London,Westminster,www.forafrica.org.uk,1,"[102, 105, 106, 103, 113]","['Education/training', 'The prevention or relief of poverty', 'Overseas aid/famine relief', 'The advancement of health or saving of lives', 'Economic/community development/employment']"
dynam,Making A Difference - Tameside,"We are a mental health charity offering life and community workshops and in 2015 we added skills development opportunity in our Oasis cafe, support is also available in the community.   The workshops are a dynamic, supportive yet challenging experience which seek to develop users' self confidence and relationship skills.",131261.0,North West,Tameside,www.madt.org.uk,1,"[113, 102, 103, 104]","['Economic/community development/employment', 'Education/training', 'The advancement of health or saving of lives', 'Disability']"
platform,The Europaeum,"Europaeum Programmes Include Research Projects, Annual Conferences And Student Summer Schools, Lectures, Joint Teaching Programmes, Public Debates, Staff Mobility Schemes, Linked Scholarship Schemes, And A Developing Knowledge Platform.",156280.0,South East,Oxford,www.europaeum.org,0,[102],['Education/training']
internet,Crickhowell Resource And Information Centre,"Tourist Information Centre, Internet Cafe, Coffee Shop, Room Hire, Art Gallery, IT Training,
Office Services.",187840.0,,Powys,www.visitcrickhowell.co.uk,0,"[102, 113]","['Education/training', 'Economic/community development/employment']"
app,Ldn Research Trust,"To help and support people wishing to try LDN, whilst raising funds for clinical trials.
Developed and LDN App, the data will be used anonymously to assist with Clinical Trials.
We are working on an LDN/cancer documentary.
Organising an LDN Conference and LDN Awareness Week.
Compiling an LDN Book
Video Interviews with LDN Researchers, prescribers,pharmacists and users.",135396.0,East of England,Broadland,www.ldnresearchtrust.org,1,"[104, 103]","['Disability', 'The advancement of health or saving of lives']"
data,Ldn Research Trust,"To help and support people wishing to try LDN, whilst raising funds for clinical trials.
Developed and LDN App, the data will be used anonymously to assist with Clinical Trials.
We are working on an LDN/cancer documentary.
Organising an LDN Conference and LDN Awareness Week.
Compiling an LDN Book
Video Interviews with LDN Researchers, prescribers,pharmacists and users.",135396.0,East of England,Broadland,www.ldnresearchtrust.org,1,"[104, 103]","['Disability', 'The advancement of health or saving of lives']"
social enterpris,Arts For Recovery In The Community,"Visual Arts, Life Drawing, Sculpture, Creative Writing, Animation, Photography, Film Making, Graphic Design, Web Design, Outreach And Partnership Projects, Mosaic Commissions And Graphics Commissions, Exhibitions, Social Enterprise (I.E Producing Arcware For The Arc Gallery Shop)",283212.0,North West,Stockport,www.arc-centre.org,0,"[102, 109, 103]","['Education/training', 'Arts/culture/heritage/science', 'The advancement of health or saving of lives']"
measur,Yorkshire Dales Rivers Trust,"River catchment conservation measures for the Yorkshire Dales Rivers, namely the Wharfe, Nidd, Ure and Swale. The YDRT also supports and sponsors research and education to inform the public of the importance river habitat conservation for supporting biodiversity, for improving water quality and for oublic recreation and enjoyment.",157977.0,Yorkshire and The Humber,Harrogate,www.yorkshiredalesriverstrust.com,0,[112],['Environment/conservation/heritage']
map,Mancroft Advice Project (Map),"MAP provides free, confidential advice, counselling and youth work services for young people aged uped to 25.  There is a Norwich city centre drop-in each weekday and in Great Yarmouth on Mondays, Wednesdays and Fridays; and other services across Norfolk.",1794005.0,East of England,Norwich,www.map.uk.net,1,"[104, 105, 115, 113, 109, 102, 103]","['Disability', 'The prevention or relief of poverty', 'Human rights/religious or racial harmony/equality or diversity', 'Economic/community development/employment', 'Arts/culture/heritage/science', 'Education/training', 'The advancement of health or saving of lives']"
social enterpris,Ashington Community Development Trust,"Community Development through social enterprise and community projects. We work principally (but not exclusively) with employment issues, housing and young people, developing projects and initiatives which deliver services directly to the community. We aim to increase participation and enhance the personal development and life skills of people, enabling them to be more resilient and resourceful.",192528.0,North East,Newcastle upon Tyne,www.ashingtoncdt.org.uk,1,"[102, 107, 117, 112, 113]","['Education/training', 'Accommodation/housing', 'Other charitable purposes', 'Environment/conservation/heritage', 'Economic/community development/employment']"
camera,Shaftesbury Arts Centre,Art; Keep Fit; Music & Drama; Youth Theatre; Camera Group; Photography: Film Society; Reading Group.,266114.0,South West,North Dorset,http://www.shaftesburyartscentre.org.uk/,0,"[109, 102]","['Arts/culture/heritage/science', 'Education/training']"
predict,Prevent Breast Cancer Limited,"To fund ground-breaking research into the prediction and prevention of breast cancer. Our four pillars of research are gene research, improved screening & early diagnosis, preventative drugs and diet & lifestyle. Our overall aim is to make breast cancer a preventable disease for our future generations.",722013.0,North West,Manchester,www.preventbreastcancer.org.uk,0,[103],['The advancement of health or saving of lives']
predict,Prevent Breast Cancer Limited,"To fund ground-breaking research into the prediction and prevention of breast cancer. Our four pillars of research are gene research, improved screening & early diagnosis, preventative drugs and diet & lifestyle. Our overall aim is to make breast cancer a preventable disease for our future generations.",722013.0,North West,Manchester,www.preventbreastcancer.org.uk,0,[103],['The advancement of health or saving of lives']
technolog,Codesandciphers Heritage Trust,"The primary purpose of the Charity is to advance the education of the public with regard to the use and development of World War II technology, in particular the use of cryptography and computers and the development of computers to the present day.",347823.0,East of England,Bedford,www.tnmoc.org,0,"[112, 102]","['Environment/conservation/heritage', 'Education/training']"
comput,The Cooke E-Learning Foundation,"We work to help reduce digital exclusion and improve people's basic skills and well-being in some of the disadvantaged communities of Leicester. We offer IT, ESOL, Skills for Life and pre-employment courses. Our social enterprise activities are refurbishing computers for low income families or local voluntary groups and providing an IT support service to small businesses and the general public.",142727.0,East Midlands,Leicester,www.celfd.co.uk,0,"[113, 102]","['Economic/community development/employment', 'Education/training']"
digit,The Cooke E-Learning Foundation,"We work to help reduce digital exclusion and improve people's basic skills and well-being in some of the disadvantaged communities of Leicester. We offer IT, ESOL, Skills for Life and pre-employment courses. Our social enterprise activities are refurbishing computers for low income families or local voluntary groups and providing an IT support service to small businesses and the general public.",142727.0,East Midlands,Leicester,www.celfd.co.uk,0,"[113, 102]","['Economic/community development/employment', 'Education/training']"
social enterpris,The Cooke E-Learning Foundation,"We work to help reduce digital exclusion and improve people's basic skills and well-being in some of the disadvantaged communities of Leicester. We offer IT, ESOL, Skills for Life and pre-employment courses. Our social enterprise activities are refurbishing computers for low income families or local voluntary groups and providing an IT support service to small businesses and the general public.",142727.0,East Midlands,Leicester,www.celfd.co.uk,0,"[113, 102]","['Economic/community development/employment', 'Education/training']"
messag,Good Food Matters,"Support disadvantaged young people to build healthier lifestyles, focusing on those facing lack of achievement at school, exclusion, in care, caring for relatives, ex-offenders or those at risk from antisocial behaviour, those going through transition, & those involved in teaching or providing nutrition to youth in the UK. Our key message is that good food does matter!",155797.0,London,Croydon,www.goodfoodmatters.org.uk,1,"[112, 102, 103, 105]","['Environment/conservation/heritage', 'Education/training', 'The advancement of health or saving of lives', 'The prevention or relief of poverty']"
directori,Yes To Life Ltd,"Yes to Life supports people with cancer in obtaining an integrative approach to treatment through;
HelpCentre services: a help line, referrals and patient grants for CAM 
On-line directory of CAM treatments 
Wellbeing Workshops: free workshops for people with cancer on CAM and related subjects
We also run seminars aimed at both the public and health professionals",497728.0,London,Hackney,www.yestolife.org.uk,0,[103],['The advancement of health or saving of lives']
financi inclus,Raise Limited,"We provide welfare rights and debt advice and casework assistance, and financial inclusion advice by home visit and telephone to Housing Association tenants in Merseyside, and to other residents of Liverpool, and training in welfare rights, debt and financial literacy to the general public. We also provide support to social housing tenants aimed at improving their financial confidence.",878569.0,North West,Liverpool,www.benefitsadviceteam.co.uk,1,"[107, 105, 102, 104]","['Accommodation/housing', 'The prevention or relief of poverty', 'Education/training', 'Disability']"
platform,Punchdrunk,"Punchdrunk's principal objective is to advance education for the public benefit by the promotion of the arts, in particular but not exclusively, the art of drama.  Its mission is to transform the passive consumption of the arts into life-changing experiences for everyone. It does this by creating a platform for multiple forms of engagement between artists, audiences, participants and volunteers.",1832512.0,London,Haringey,www.punchdrunk.com,0,[109],['Arts/culture/heritage/science']
ventur,Future,"Our mission is to help young people succeed. There are three arms to the work that we do to help young people overcome the difficulties they face and achieve their full potential: Venture Philanthropy, Academy Sponsorship and Research.",511465.0,London,Westminster,www.futurecharity.org,0,"[117, 113, 102]","['Other charitable purposes', 'Economic/community development/employment', 'Education/training']"
acceler,British Society For Gene And Cell Therapy,The British Society for Gene and Cell Therapy aims to accelerate scientific progress and promote the public understanding of gene- and cell-therapies. BSGT holds an annual Public Open Day alongside the scientific conference and supports international exchanges and collaborations that aim to advance knowledge of the field.,105861.0,South East,Runnymede,www.bsgct.org,0,"[103, 102]","['The advancement of health or saving of lives', 'Education/training']"
analysi,The Resolution Foundation,The Resolution Foundation is an independent research and policy organisation. Our public benefit goal is to improve outcomes for people on low and modest incomes. We do this by undertaking original research and economic analysis to understand the challenges they face. We then develop practical and effective policy proposals and engage with policy makers and key stakeholders to bring about change.,972238.0,London,Westminster,www.resolutionfoundation.org,1,"[105, 113, 102]","['The prevention or relief of poverty', 'Economic/community development/employment', 'Education/training']"
acceler,Emergency Nutrition Network,"The ENN was set up in 1996 by an international group of humanitarian agencies to accelerate learning and strengthen institutional memory in the emergency food and nutrition sector. The ENN produces a tri-annual publication, Field Exchange,  'Special Supplements' on cutting-edge programming, initiates research and coordinates an international collaboration on infant feeding in emergencies.",1225956.0,South East,Oxford,www.ennonline.net,1,"[102, 103, 106]","['Education/training', 'The advancement of health or saving of lives', 'Overseas aid/famine relief']"
social enterpris,Solar Aid,"The charity's core activity is the operation of a fast growing social enterprise, called SunnyMoney, which distributes and sells solar lights throughout Africa. The charity has an over-arching goal of eliminating the kerosene lamp in Africa by 2020.",1830704.0,London,Hackney,www.solar-aid.org,1,"[105, 112, 113, 102]","['The prevention or relief of poverty', 'Environment/conservation/heritage', 'Economic/community development/employment', 'Education/training']"
messag,Show Racism The Red Card,"Show Racism The Red Card is an anti-racist educational charity. We aim to combat racism through enabling role models, who are predominately but not exclusively footballers, to present an anti-racist message to young people and others",879603.0,North East,North Tyneside,www.theredcard.org,0,"[102, 113]","['Education/training', 'Economic/community development/employment']"
conserv technolog,Global Heritage Fund United Kingdom,"Conservation of Cultural Heritage (Tangible and Intangible) in Developing regions of the world, through Planning, Training, Scientific Conservation Technology, and Funding Partnerships.",107788.0,London,Hammersmith and Fulham,http://globalheritagefund.org/index.php/about_us/ghf_europe,1,"[113, 105, 109, 112, 102, 106]","['Economic/community development/employment', 'The prevention or relief of poverty', 'Arts/culture/heritage/science', 'Environment/conservation/heritage', 'Education/training', 'Overseas aid/famine relief']"
technolog,Global Heritage Fund United Kingdom,"Conservation of Cultural Heritage (Tangible and Intangible) in Developing regions of the world, through Planning, Training, Scientific Conservation Technology, and Funding Partnerships.",107788.0,London,Hammersmith and Fulham,http://globalheritagefund.org/index.php/about_us/ghf_europe,1,"[113, 105, 109, 112, 102, 106]","['Economic/community development/employment', 'The prevention or relief of poverty', 'Arts/culture/heritage/science', 'Environment/conservation/heritage', 'Education/training', 'Overseas aid/famine relief']"
social enterpris,Giroscope Limited,Giroscope buys and renovates empty property. We then let this property to people in housing need as well as to social enterprises and community organisations. We also provide training opportunities for disadvantaged people.,563076.0,Yorkshire and The Humber,"Kingston upon Hull, City of",www.giroscope.org.uk,1,"[102, 105, 107, 113]","['Education/training', 'The prevention or relief of poverty', 'Accommodation/housing', 'Economic/community development/employment']"
analysi,Ccjo Renecassin,"Ren? Cassin promotes and protects universal human rights, drawing on Jewish experience and values.  We achieve this by campaigning for change in defined human rights areas through a combination of advocacy, policy analysis, public campaigning and education and building the capacity of the Jewish activists and lawyers to support human rights.",113961.0,London,Camden,www.renecassin.org,0,"[102, 117]","['Education/training', 'Other charitable purposes']"
financi inclus,Bromsgrove And District Citizens Advice Bureau,"To provision of information and advice to the public, free of charge.  To provide outreach services at Children's Centres, HMP Hewell Grange and through the Financial Inclusion Fund at three prisons in our area.",315168.0,West Midlands,Bromsgrove,www.citizensadvice.org.uk,1,[105],['The prevention or relief of poverty']
social enterpris,Aspire Oxfordshire Community Enterprise Limited,"Aspire Oxford is an employment charity and social enterprise that creates real work placements, training and employment opportunities for people who face severe and multiple disadvantages such as homelessness, substance misuse and offending. 
Our charity is dedicated to transforming the life chances of local men and women who have survived adversity.",990869.0,South East,Oxford,www.aspireoxford.co.uk,1,"[113, 105]","['Economic/community development/employment', 'The prevention or relief of poverty']"
social enterpris,Orwell Mencap,"The provision of staff to support our clients within our day care centre, their home or other locations. Also, the provision of Social Enterprise initiatives including the garden furniture workshop and green bike project.",1642084.0,East of England,Ipswich,www.orwellmencap.co.uk,1,[104],['Disability']
electron,The Lucie Blackman Trust,"Promotion Of Public Safety And Prevention Of Crime By Providing Guidance In The Use Of Electronic Communications And Media To Facilitate Exchange Of Information And Experience Of Members In The Area Of Personal Safety, And To Provide Support To Families Who Experience Trauma Overseas, Including, But Not Limited To, Homicide, Missing Persons And Victims Of Violent Crime.",162289.0,South East,Isle of Wight,www.lbtrust.org,0,[102],['Education/training']
social enterpris,Doncaster Refurnish,"Refurnish is an entrepreneurial social enterprise that delivers social, environmental and economic targets. The organisation was formed in response to two factors; lack of affordable furniture for disadvantaged people who were often exploited by unethical lenders and the vast amounts of reusable furniture being buried in landfill. We use or work as a training aid for disadvantaged people.",1297239.0,Yorkshire and The Humber,Doncaster,www.refurnish.co.uk,1,"[102, 105, 113, 112]","['Education/training', 'The prevention or relief of poverty', 'Economic/community development/employment', 'Environment/conservation/heritage']"
data,Child.Org International,"Child.org believe that every child should have an equal opportunity. We do what works. We use data and evidence to define this. We work in Kenya, Sierra Leone and Ghana with programmes that are tailored to tackle the obstacles children face. We train the next generation of charity workers with Charity Apprentice. We fundraise innovatively through social enterprise, schools and festivals.",581959.0,London,Hackney,http://child.org,1,"[102, 105, 117, 103, 115]","['Education/training', 'The prevention or relief of poverty', 'Other charitable purposes', 'The advancement of health or saving of lives', 'Human rights/religious or racial harmony/equality or diversity']"
social enterpris,Child.Org International,"Child.org believe that every child should have an equal opportunity. We do what works. We use data and evidence to define this. We work in Kenya, Sierra Leone and Ghana with programmes that are tailored to tackle the obstacles children face. We train the next generation of charity workers with Charity Apprentice. We fundraise innovatively through social enterprise, schools and festivals.",581959.0,London,Hackney,http://child.org,1,"[102, 105, 117, 103, 115]","['Education/training', 'The prevention or relief of poverty', 'Other charitable purposes', 'The advancement of health or saving of lives', 'Human rights/religious or racial harmony/equality or diversity']"
social enterpris,Advocates For International Development,"Facilitation of free legal assistance to civil society, government bodies, social enterprises and NGO's in developing countries provided by law firms, barristers and departments of corporate bodies.
Training courses for lawyers on the interaction of the law with development.
Business and human rights abroad.
Online legal health checks, defamation law and e-learning.
Overseeing subsidiary.",428687.0,London,Lambeth,www.a4id.org,1,"[105, 102, 115]","['The prevention or relief of poverty', 'Education/training', 'Human rights/religious or racial harmony/equality or diversity']"
comput,Digital Pipeline,"Digital Pipeline (working in Africa as Computers 4 Africa) helps alleviate poverty in the long term by providing access to computer equipment for the poorest schools and projects in the developing world.  As a consequence we also promote conservation, protection & improvement of the environment through the re-use of ICT equipment and helping establish in-Country end of life re-cycling facilities.",958628.0,West Midlands,Wolverhampton,www.digitalpipeline.org,1,"[112, 105, 102, 113]","['Environment/conservation/heritage', 'The prevention or relief of poverty', 'Education/training', 'Economic/community development/employment']"
digit,Digital Pipeline,"Digital Pipeline (working in Africa as Computers 4 Africa) helps alleviate poverty in the long term by providing access to computer equipment for the poorest schools and projects in the developing world.  As a consequence we also promote conservation, protection & improvement of the environment through the re-use of ICT equipment and helping establish in-Country end of life re-cycling facilities.",958628.0,West Midlands,Wolverhampton,www.digitalpipeline.org,1,"[112, 105, 102, 113]","['Environment/conservation/heritage', 'The prevention or relief of poverty', 'Education/training', 'Economic/community development/employment']"
technolog,The Safepoint Trust,"The SafePoint Trust educates and promotes the dangers of syringe re-use and the potential spread of fatal blood-borne diseases through this unsafe practice. Working together with: Governments to change legislation. Manufacturers to ensure safer products (compliant to WHO standards). Training for Healthcare Workers. Education to the public delivered via written, visual press and mHealth technology.",465710.0,South East,Wealden,www.safepointtrust.org,0,"[102, 113, 103]","['Education/training', 'Economic/community development/employment', 'The advancement of health or saving of lives']"
comput,Avalon Assessments Limited,"We provide assessments mainly for the Agricultural,Horticulture and allied industries,using both computer based and practical types of assessment as appropriate.",245307.0,South West,North Somerset,avalonassessments.co.uk,0,"[102, 112]","['Education/training', 'Environment/conservation/heritage']"
social enterpris,"Broxtowe Education, Skills And Training Ltd","BEST operates in an unemployment hotspot, Nottingham's Broxtowe Estate. Tasked with improving the skills and employment prospects of local residents, and revitalising the social and economic environment. BESTbuild social enterprise construction is a subsidiary designed to employ local people; create apprenticeship opportunities and increase economic worth of one of our poorest communities.",1014084.0,East Midlands,Nottingham,bestsocialenterprise.org.uk,0,"[113, 102]","['Economic/community development/employment', 'Education/training']"
app,Best Beginnings,"Best Beginnings creates and disseminates engaging, evidence-based resources ? Baby Buddy phone app, From Bump to Breastfeeding DVD, Small Wonders DVD, Baby Express Magazine and Maternal Mental Health films. These resources help to educate and empower parents and parents-to-be, increasing their confidence, knowledge and skills to give their children the best start in life.",734559.0,London,Southwark,www.bestbeginnings.org.uk,0,"[102, 103]","['Education/training', 'The advancement of health or saving of lives']"
electron,Av Festival,"The Objects of the Charity are to advance the education of the public in contemporary arts in the North East of England, in particular (but not exclusively) by promoting visual art, film, music, sound and electronic art.",126578.0,North East,Newcastle upon Tyne,www.avfestival.co.uk,0,[109],['Arts/culture/heritage/science']
dynam,Menter Y Felin Uchaf Cyf,"Creation of a centre for cultural and environmental education and research that offers a holistic and dynamic approach to learning. Volunteers participate in projects including organic gardening, eco- building, landscaping, construction of Celtic roundhouses and thatching.   Local schools and colleges attend the Centre studying Celtic culture, sustainable building and conservation.",189173.0,,Gwynedd,www.felinuchaf.org,0,"[102, 109, 112]","['Education/training', 'Arts/culture/heritage/science', 'Environment/conservation/heritage']"
technolog,Ucare (Oxford),"Supporting basic, translational and clinical research into the causes, prevention and treatment of urological cancer and related conditions by developing and evaluating new technologies; providing equipment and facilities for research, of the disease and related conditions;  Assisting in the provision of education for medical staff and general public, of the disease and related conditions.",138937.0,South East,Oxford,www.ucare-oxford.org.uk,0,[103],['The advancement of health or saving of lives']
social enterpris,Emmaus Burnley,"Emmaus offers homeless people a place to be safe and secure where they can enjoy companionship, the support of a community and advice. Everyone is accepted for who they are now, not judged on what they might have been. Emmaus is a social enterprise and everyone living in a community signs off benefit to work within their ability in the community's charitable business.",256746.0,North West,Burnley,www.emmausburnley.org.uk,1,"[105, 113, 107]","['The prevention or relief of poverty', 'Economic/community development/employment', 'Accommodation/housing']"
technolog,Frank Water Projects,"FRANK Water funds provision of safe drinking water within inclusive WASH programmes, helping close the loop that is critical to health and wellbeing. Implementation takes different forms and uses only appropriate technology. FRANK Water concentrates on areas and populations where its work can have maximum impact, beneficiaries include marginalised tribal populations and isolated rural communities.",378882.0,South West,"Bristol, City of",www.frankwater.com,1,"[103, 113, 106]","['The advancement of health or saving of lives', 'Economic/community development/employment', 'Overseas aid/famine relief']"
acceler,London Sustainability Exchange,"London Sustainability Exchange accelerates the transition to a sustainable London by connecting and motivating people. As a charity we work in partnership with business, government and the voluntary sector to reduce London's environmental footprint, improve the lives of London's disadvantaged communities, and improve the health of Londoners.",306380.0,London,Southwark,www.lsx.org.uk,0,"[102, 109, 103, 113, 112]","['Education/training', 'Arts/culture/heritage/science', 'The advancement of health or saving of lives', 'Economic/community development/employment', 'Environment/conservation/heritage']"
analysi,Haber Charitable Trust,Specific capital projects with detailed proposals and analysis,255000.0,London,Harrow,,1,"[106, 113, 117]","['Overseas aid/famine relief', 'Economic/community development/employment', 'Other charitable purposes']"
measur,The Beth Johnson Foundation,"Beth Johnson Foundation's purpose is to stimulate/facilitate change to enhance the quality of life and experience of the ageing process for older people through its current four programmes of work being Advocacy, Health, Intergenerational Practice and Midlife; to influence policy makers/ funders to have increasing focus on effective measures to increase people's well-being and health as they age.",734439.0,West Midlands,Stoke-on-Trent,www.bjf.org.uk,1,"[104, 103, 113]","['Disability', 'The advancement of health or saving of lives', 'Economic/community development/employment']"
messag,Peace Direct,"Peace Direct finds, funds & promotes local peacebuilding. We find & fund committed, pragmatic and effective individuals and organisations working at the frontline of conflict.  We support and promote their work, believing it is critical their message is heard and their knowledge shared. We believe that local peacebuilding should be at the centre of all strategies for managing conflict resolution.",1821399.0,London,Hackney,peacedirect.org,1,"[102, 117, 106, 113, 115]","['Education/training', 'Other charitable purposes', 'Overseas aid/famine relief', 'Economic/community development/employment', 'Human rights/religious or racial harmony/equality or diversity']"
comput,Bollington Community Association Limited,"Community Use, Nostalgia Trails, Computer Training, Shopping Project, Art, Bridge for Beginners, Creative Writing, Gardening, Walking for Wealth, Woodcraft",136851.0,North West,Cheshire East,www.bridgendcentre.org.uk,0,"[102, 112, 113]","['Education/training', 'Environment/conservation/heritage', 'Economic/community development/employment']"
messag,Climate Outreach And Information Network,The Climate Outreach Information Network (COIN) is a charity formed in 2004 to directly engage the public about climate change. COIN inspires lasting changes in attitudes and behaviour through the use of innovative action learning methods and by assisting people to communicate their own messages to their peers.,397445.0,South East,Oxford,www.climateoutreach.org,0,"[112, 102]","['Environment/conservation/heritage', 'Education/training']"
social enterpris,The Nicholas Mills Foundation,To act as a not-for-profit social enterprise which provides support for families affected by the consequences and outcomes resulting from the drug addiction of their family members. To also promote awareness about how to deal with the nightmare of drug addiction through fundraising campaigns; and provide education about the effects of substance misuse to schools and community groups.,137353.0,East of England,Colchester,www.drugfam.co.uk,1,"[105, 103, 102]","['The prevention or relief of poverty', 'The advancement of health or saving of lives', 'Education/training']"
social media,Greenwich Action For Voluntary Service,"Capacity Building, Representation,  forums, newsletters, social media and training",273181.0,,,www.greenwich-cvs.org.uk,1,"[113, 104, 102, 115]","['Economic/community development/employment', 'Disability', 'Education/training', 'Human rights/religious or racial harmony/equality or diversity']"
social enterpris,Emmaus Hastings And Rother,"Emmaus is a secular charity providing a home, work & training for homeless or socially marginalised people through social enterprise businesses trading in donated furniture & household goods.  Ours is currently staffed by volunteers whilst funds are raised to build the Community's accommodation. Residents remain with Emmaus for as long as they need and are then helped to find jobs and housing.",319619.0,South East,Hastings,emmaus.org.uk/hastings-and-rother,1,"[103, 107, 102, 105, 113]","['The advancement of health or saving of lives', 'Accommodation/housing', 'Education/training', 'The prevention or relief of poverty', 'Economic/community development/employment']"
technolog,Readipop,"Readipop is an arts organisation offering workshops that develop creative uses for new digital technology, exploring music, sound, image and beyond. Readipop specialises in work with young people. Readipop is based in Reading, UK. 
We deliver local projects via our host studio Plug n Play Studios as well as working across Berkshire and the south of England.",285870.0,South East,Reading,www.readipop.co.uk,0,[109],['Arts/culture/heritage/science']
technolog,Disability Information Bureau,"Information and Advice on all disability matters
Benefit support 
Providers of the Work Programme
Shopmobility
IT Centre
Assessment for adaptive technology
Volunteering opportunities
Access appraisals and issues
Awareness training in equality and diversity
Employment Support and Training
Wheelchair loan and Radar Keys to buy
Meeting room to hire",260412.0,North West,Cheshire East,www.dibservices.org.uk,1,"[102, 113, 105, 115, 104]","['Education/training', 'Economic/community development/employment', 'The prevention or relief of poverty', 'Human rights/religious or racial harmony/equality or diversity', 'Disability']"
measur,European Association For Haemophilia And Allied Disorders,"The objects of the Charity are the relief of persons suffering from
haemophilia, for the benefit of the public,  by:
1 recognising, measuring and addressing the problems of people with haemophilia 
2 promoting research in the above areas;
3 disseminating knowledge through the appropriate scientific channels and education",531784.0,,Glasgow City,www.eahad.org,0,[103],['The advancement of health or saving of lives']
analysi,China Dialogue Trust,"The China Dialogue Trust promotes communication across barriers of language and culture on environment and climate change in order to inform, educate and build a global consensus for equitable and constructive solutions to urgent problems. We do this through the production, publication and dissemination of news and analysis.",1060387.0,London,Hackney,www.chinadialogue.net,0,[102],['Education/training']
startup,South Sefton Development Trust,"Relief of poverty in, and regeneration of, south Sefton through the provision of skills education and training, enterprise start-up and support, community initiatives and heritage projects.",462579.0,North West,Sefton,www.regenerus.org.uk,1,"[102, 105, 109, 113]","['Education/training', 'The prevention or relief of poverty', 'Arts/culture/heritage/science', 'Economic/community development/employment']"
comput,Psi-K,"Supports European research and researchers in materials through coordination of collaboration and dissemination of information on ab initio computational modelling among the European research community, and from the research community to others outside.",129447.0,North West,Warrington,www.psi-k.org,0,[102],['Education/training']
measur,Dsa-Qag,"DSA-QAG (the Disabled Students Allowance Quality Assurance Group) provides a quality assurance service for assessment centres and suppliers involved in the delivery of the Disabled Students' Allowance scheme in England and Wales.
We measure the quality of the work of organisations conducting DSA needs assessments and supplying the recommended DSA equipment.",449226.0,,Glasgow City,www.dsa-qag.org.uk,1,"[104, 102]","['Disability', 'Education/training']"
messag,Play Gloucestershire,"Play Gloucestershire develop playful communities with active children. Our aim is that all children and young people in Gloucestershire should have regular and easy access to high quality, free and inclusive places for play and recreation. We combine play delivery with play advocacy and community play development. Volunteering is an important part of our work and our message is ""Get Out and Play!""",177903.0,South West,Gloucester,www.playgloucestershire.org.uk,1,"[105, 104, 103, 112, 113, 102, 109, 116]","['The prevention or relief of poverty', 'Disability', 'The advancement of health or saving of lives', 'Environment/conservation/heritage', 'Economic/community development/employment', 'Education/training', 'Arts/culture/heritage/science', 'Recreation']"
map,Mapaction,"MapAction is a humanitarian mapping charity that works through skilled volunteers.  Its aim is to save lives and minimise suffering by making the response to humanitarian emergencies as efficient and effective as possible.
When a disaster strikes, MapAction deploys volunteer mapping professionals to the scene to help coordinate the response and get aid to where it is needed most.",1097155.0,South East,Wycombe,www.mapaction.org,1,"[106, 103, 102]","['Overseas aid/famine relief', 'The advancement of health or saving of lives', 'Education/training']"
map,Friends Action North East,"Provides support to adults who have a learning disability (friendship finders) to make new, and to keep friends. The friendship builder will commit to support the person on a one to one basis to explore their friendship needs, community mapping,  and to volunteer in a way that will let the person move towards their own friendship goals.  The volunteer will gain a qualification.",121744.0,North East,Newcastle upon Tyne,www.friendsaction.co.uk,1,"[102, 104, 117]","['Education/training', 'Disability', 'Other charitable purposes']"
comput,South Hampstead And Kilburn Community Partnership,"To provide a range of accredited courses, support services and drop-ins to local residents who live within a one mile radius of the Tenants Hall on the Alexandra and Ainsworth Housing Estate which is based in the London Borough of Camden. Our current classes include ESOL, computer skills, Job search and CV development as well as an accredited Music Technology course and IAG  for young people",205268.0,London,Camden,www.shakonline.co.uk,1,"[105, 113, 102]","['The prevention or relief of poverty', 'Economic/community development/employment', 'Education/training']"
