grant_matched_words,Identifier,Title,Description,Amount Awarded,Award Date,Planned Dates:Start Date,Recipient Org:Name,Recipient Org:Charity Number,Funding Org:Identifier,Funding Org:Name
databas,360G-blf-0030141063,Cultural Development Project,"This project will promote deaf culture throughout Northern Ireland by increasing the number of qualified Sign Languages assessors and tutors.  Sign Lanaguage classes will be provided for the hearing community resulting in deaf people having improved access ot interpreters.  It will also help set up a cultural resource centre with resources for British/Irish Sign Language Tutors, a database on deaf/sign language issues, a training centre and social events.",97383.0,2005-11-23,2006-03-14,BDA,1031687,360G-blf,The Big Lottery Fund
databas,360G-blf-0030026405,There is no project name available for this record,"This organisation provides a wide range of support for older people.  The award will be used to install a bespoke database programme that will facilitate the co-ordination of support services, client and volunteer information.",5000.0,2005-10-19,2005-11-11,Age Concern York,500792,360G-blf,The Big Lottery Fund
databas,360G-blf-0030026542,Improvements in funding advice,An award will enable this local Council for Voluntary Service to improve the funding advice and guidance it gives to a wide variety of groups who work in the voluntary sector. They will provide a dedicated computer and access to the Grantfinder database and an updated range of library books. A development worker will be available for groups to discuss their projects and offer funding advice.,2470.0,2005-10-12,2005-10-31,Cambridge Council for Voluntary Service,1074947,360G-blf,The Big Lottery Fund
hardwar,360G-blf-0030030475,publicity,"A project to purchase IT equipment to help promote and market this Scout group in Dudley, as well as helping members to develop their IT skills. The grant will pay for 6 computers, 1 laptop, 1 ADSL router, 1 mono laser printer, 1 colour deskjet scanner/fax/copier and associated hardware and software.",4394.0,2005-11-02,2005-11-07,1st Wallheath Scout Group,524622,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030029204,"Nature Trail, ICT & Art Activities","A project by this pre-school based in Worcester to fund several small projects including a Community Nature Trail, Information Technology training and Artistic activities.",5000.0,2006-02-01,2006-02-06,Norton Pre-School,1056054,360G-blf,The Big Lottery Fund
hardwar,360G-blf-0030030254,Office computer systems,"The group are relocating to two locations. The project will upgrade the computer system, allowing the group to network the computers between the sites.  The group will also offer an interactive display system to customers who are unable to access the showroom on the first floor. computer hardware, server, configuration, projector, software, licences",5000.0,2005-10-20,2005-10-25,Bolton Community Transport and Furniture Services,1101339,360G-blf,The Big Lottery Fund
databas,360G-blf-0030028616,Carer Access and Consultation Project,This group provides support services and advocacy for carers.  They will use the award to conduct a telephone survey to the 4000 carers on their database to find out what information and support they need to help them in their caring situations.  This information will then be used to influence the development of services for carers.,4800.0,2005-12-14,2006-01-06,Sheffield Carers Centre,1041250,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030045719,Music project for adults with learning and physical disabilities,"The Ark T Centre provide music and theatre workshops and dance classes. With help from a Lottery grant the centre will run a year long music project for adults with severe learning and physical disabilities. The project will allow the students to try out different instruments, sing and use music technology to develop compositions. Each term the students will produce a CD of their work and they will be able to perform their work at one of the centre's live events.",1948.0,2006-01-18,2006-02-07,The Ark-T Centre,1079495,360G-blf,The Big Lottery Fund
databas,360G-blf-0030029124,Essex Placenames Project,"Archaeological & Historical Society uses an award to engage the wider community in a research project into Essex Place names - through publicising the project and thereafter providing training, a seminar and improvement of web-site and data-base to give the  necessary wider access to appropriate information about Essex place names",5000.0,2006-02-16,2006-03-07,Essex Society for Archaeology and History,213218,360G-blf,The Big Lottery Fund
map,360G-blf-0030141822,Community Integration,"The project will provide support to adults with learning difficulties to reduce social isolation and improve social contact.  It will use person-centred planning tools to understand what users want from their local neighbourhood - matched with generation of 'community maps' to identify informal and formal associations, key local people and focal points.",112558.0,2006-01-26,2006-03-21,Grapevine (Coventry & Warwickshire) Limited,1107969,360G-blf,The Big Lottery Fund
map,360G-blf-0030041839,Cornwall's Living Churchyards Project,"This registered charity is concerned with the flora and fauna in Cornwall, through bird sanctuaries, nature reserves, study and research. Their project is to work with local people to encourage wildlife friendly management of Cornwall's churchyards. They will provide workshops for churchyard groups on wildlife management, wildlife recording and the production of wildlife maps and information boards.",10000.0,2006-08-21,2006-08-29,The Cornwall Trust for Nature Conservation Limited,214929,360G-blf,The Big Lottery Fund
analysi,360G-blf-0030133891,Building Effective Local Voluntary and Community Sector Infrastructure,"National Association of Councils for Voluntary Service (NACVS) was established in 1991 to support and establish CVS'. The primary activities of this project will be a comprehensive study of a range of 'generic' Local Infrastructure Organisations (LIOs) and analysis of the findings and a programme of dissemination aimed at existing and potential LIO's, funders and organisations that support local Voluntary Community Sector (VCS) infrastructure.",91605.0,2006-05-12,2006-08-11,National Association for Voluntary and Community Action,1001635,360G-blf,The Big Lottery Fund
databas,360G-blf-0030040425,New Database and IT Training for Volunteers,"This group provides a free, confidential and impartial service of information and advice on any aspect of disability to disabled people, their families and carers, and to professionals. The project is to design a new database for the group to be able to give up to date information and advice.",4999.0,2006-05-15,2006-05-29,Dial Mansfield And District,515979,360G-blf,The Big Lottery Fund
data,360G-blf-0030045305,Computer and presentation equipment,"This organisation examines, researches and develops public interest in local history.  Its main activities are give talks and lectures to schools, societies, residents in care homes.  It now needs to update its presentation equipment to enable it to continue with these activities, and also to show cine films which have recently been made available to the organisation. a laptop computer, DVD player, a data projector and a sound system.",1869.0,2006-03-16,2006-03-21,Urmston and District Local History Society,512975,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030043955,Enhancing Community Skill through IT,"The project is to establish an Internet Cafe in order for older people, single parents and unemployed adults from Black Minority and Ethnic backgrounds from the area to develop computer and information technology skills.  The targeted users will receive tutor and volunteer support, giving opportunities for further study in IT courses at the College from September 2006.",5000.0,2006-03-16,2006-03-21,The Toxteth Community College Limited,1086777,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030043975,Saturday Morning Healthy Eating Breakfast Club,"This Breakfast Club promotes Healthy Eating by offering a healthy eating breakfast facility on Saturdays for children aged 5-11 years old.  It also offers physical, creative,  informative and communication technology workshops to its users.  An award will enable this group to hire a professional arts and crafts instructor to facilitate  workshops over 1 year.",3612.0,2006-03-17,2006-03-28,King James I Community Association Bishop Auckland,509715,360G-blf,The Big Lottery Fund
text messag,360G-blf-0030041782,Text Me Straight,This group works to reduce teenage pregnancy rates.  The project in Kingston upon Thames is to conduct a feasibility study of using text messages to enhance the experience of young people taking part in the groups' teenage pregnancy programme.,2460.0,2006-09-22,2006-10-10,Straight Talking,1101726,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030041119,Reaching the Community,This organisation provides information and communications technology (ICT) education and resources to the public in the Barnsley Dearne area.  An award would allow the organisation to expand and offer a mobile ICT training unit so that they can extend their current training provision.  All of the training courses that are offered are free of charge.,4970.0,2006-09-25,2006-10-09,DECV Limited,1090187,360G-blf,The Big Lottery Fund
platform,360G-blf-0030140382,Cafe West - A safe place to go and safe things to do,This project will provide a Children's Health Worker to facilitate the development of a Young People's Café run by and for young people. The Café will offer training in Health & Hygiene Practices and catering skills and will also provide a platform for health improvement discussions. Café West healthy living centre in Bradford will be used as a base for this project.,96922.0,2006-06-12,2006-11-06,Barnardo's,216250,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030039204,Music Engine,Drake Music Project enable children and adults with disabilities to participate in playing musical instruments - using assistive music technology.  The award will fund the 'music engine' project which aims to run a series of 10 workshops for disabled people in order to compose 5-7 pieces of music culminating in a performance in Manchester's Museum of Science and Industry.,5000.0,2006-06-22,2006-07-11,Drake Music,1034374,360G-blf,The Big Lottery Fund
databas,360G-blf-0030044067,There is no project name available for this record,"This group provides support, training and education for families. They will use the award to purchase new and updated computer equipment which will enable them to develop their monitoring, evidence gathering and statistical and database systems.",2868.0,2006-03-15,2006-04-04,The Family Development Project,1151624,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030044227,There is no project name available for this record,Lifeforce offers accredited training and events in music and music technology to young people whose lives are affected by negative behaviours. The award will be used to run a new radio programme production course.,3358.0,2006-03-15,2006-04-04,Lifeforce Productions Limited,1078146,360G-blf,The Big Lottery Fund
platform,360G-blf-0030049636,Disabled access,The award will fund a vertical platform lift to improve access to an upstairs meeting room in the village hall.,5000.0,2006-05-11,2006-05-30,Barton under Needwood Village Hall,502046,360G-blf,The Big Lottery Fund
map,360G-blf-0030042676,Increase the number of candidates,"A project to advance the mental and physical welfare of young people by way of camping through the Duke of Edinburgh Awards Scheme in Uttoxeter.  The money will pay for 17 tents, 12 gas stoves and conversion kits, 9 rucksacks and sleeping bags, maps for the Peak District module, 12 climbing helmets, 3 leader training courses.",3970.0,2006-07-27,2006-08-14,Duke of Edinburgh's Award Committee - Uttoxeter Area,1056933,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030047471,New Equipment,This pre- and after-school project provides childcare and play facilities for children whose parents or guardians are at work or in education.  The award will fund modernisation of its communications technology  by providing standard computers to assist  children in their studies.,5000.0,2006-05-17,2006-05-30,Camberwell After School Project,1085664,360G-blf,The Big Lottery Fund
data,360G-blf-0030049035,Community Multimedia Project,"This group provides respite care to carers of people living with a wide range of disabilities in the community. The project is to provide a multimedia educational/training resource for the service users and carer support workers, which will develop new skills and be used to publicise the group. The award is for a PC and monitor, 2 x laptops (incl MS licences), digital camcorder, digital camera and data projector.",4617.0,2006-03-17,2006-04-03,East Midlands Crossroads - Caring for Carers,1051649,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030039869,After School IT Club,"This Club will use an award to extend its after-school provision, allowing them to develop sessions in Information Technology.  The award will fund IT equipment to help with homework and set up a website to promote the work of the club.",4536.0,2006-07-14,2006-07-31,Eyres Monsell Club For Young People,1113619,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030046423,Courses in basic IT skills,"With help from a Lottery grant the Reigate and Banstead CVS will work in partnership with a local technology college to deliver a programme of basic IT skills training for volunteers, or staff, of local voluntary groups and charities, who lack confidence in computing.",4138.0,2006-02-16,2006-02-28,Reigate And Banstead Council Of Voluntary Service,1045949,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030038729,Replacement of old Central Heating System,"This charity are responsible for maintenance and running of the Holmer Green Village Centre. This project is to upgrade the central heating system, radiators and pipe-work of both halls in the village centre with modern system technology. This will give local residents and businesses continued use of this invaluable community building.",5700.0,2006-07-17,2006-07-25,Holmer Green Village Centre,300281,360G-blf,The Big Lottery Fund
databas,360G-blf-0030048291,Crewe and Nantwich CVs and Volunteer Bureau,"The project is to develop and redesign the database.  A Community Information Directory will be printed from this for 300 local community and voluntary groups, free of charge to them. The grant is for staff time, stationery and postage.",1716.0,2006-03-31,2006-04-11,Crewe and Nantwich Voluntary Action,506632,360G-blf,The Big Lottery Fund
databas,360G-blf-0030049348,Weather Watching,"This society provides a museum looking at rural life through the eyes of a twentieth century village shopkeeper. The society also offer a range of heritage related and educational activities for the community of Flintham. The project will provide two weather related workshops, an electronic database of the village shopkeeper's weather records, and produce a booklet about the weather and its impact on food retailing and shopping in the past, present and future.",3382.0,2006-03-31,2006-04-10,The Flintham Society,1047193,360G-blf,The Big Lottery Fund
databas,360G-blf-0030041620,Parish Plan Accessible Information Project,A project to establish a database and enter information from Parish plans in Worcestershire in order to make the information accessible to the whole community in Hereford and Worcestershire.,4960.0,2006-08-22,2006-09-08,Community First in Herefordshire & Worcestershire,703072,360G-blf,The Big Lottery Fund
analysi,360G-blf-0030141477,Multi-Media Testimony on Rural Poverty and Social Exclusion,"This project seeks to give 'excluded' groups an opportunity to explore common experiences, and provide a forum where groups vulnerable to poverty in rural areas can work together to influence the development of local and national solutions to rural poverty. This research will include video recording of testimony diaries. After analysis of the diaries the research team will identify issues and themes that require further exploration with the participants.",97692.0,2006-02-21,2007-01-15,The Rural Media Company,1041335,360G-blf,The Big Lottery Fund
platform,360G-blf-0030049779,Cliff Lift Enhancement Scheme,"This group promote and support activities in the local area such a regeneration and education and training. They  are currently delivering a major improvement of the upper promenade area of Saltburn-by-the-sea. They will use funding to install viewing platforms and telescopes on the promenade. This will enable greater appreciation of the surrounding  area and be of  educational benefit to residents, school groups and tourists.",4500.0,2006-06-19,2006-06-27,Saltburn Forward,1097023,360G-blf,The Big Lottery Fund
platform,360G-blf-0030046091,Outdoor garden and storage equipment,"North East Pre-School will be able to create an outdoor garden with help from a Lottery award.  The new garden will provide a range of play and teaching areas that will give children the chance to learn in a variety of stimulating environments. It will include stepping stones, balance logs, play platforms and a decking area for quiet play.",4771.0,2006-03-13,2006-03-28,North East Pre School,1055320,360G-blf,The Big Lottery Fund
databas,360G-blf-0030048631,Regimental Museum,"This organisation is an arm of the Royal Navy and UK forces overseas.  It provides essential stores and equipment required by warships at sea and UK forces involved in emergency and disaster relief operation worldwide.  The project is to employ a administrator and an almoner to assist in phase 2 of setting up a regimental museum and archive in Tyne & Wear.  This will comprise, inter alia, the establishment of a  database and computerised links around the UK.",5000.0,2006-06-19,2006-06-27,Royal Fleet Auxiliary Association,1093950,360G-blf,The Big Lottery Fund
databas,360G-blf-0030039063,Purchase of a Photocopier,"This group provide advice and information for people to access which is necessary to improve their quality of life.  They manage Rotherham Carers Forum who provide information regarding meetings, legislation, minutes and newsletters.  They have 650 members on the database and aim to increase access to information with the purchase of a new colour photocopier.",5000.0,2006-07-24,2006-08-08,Rotherham Advice & Information Network,1083209,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030133087,Transfer of ML/2/010169225,"The project will provide creative activities for young people, aged 16-25 years old, not in employment, education or training. This will involve three 10 week programmes including training in dance and fitness, graphic arts and music technology, which will promote personal and social development, develop basic and key skills and enable pathways into education, training and employment.",29964.0,2006-07-27,2006-10-05,Inspire At St.Peters,1106693,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030133224,Community Learning,"A community centre holds courses in using computers to help local residents develop confidence and knowledge in using the technology and assist job seekers find work. Three courses a year, each lasting ten weeks, are planned during terms, and holiday club sessions are to be held during school breaks.",41925.0,2006-09-13,2006-12-01,Headley Down Community Association,274302,360G-blf,The Big Lottery Fund
measur,360G-blf-0030133758,Rainer Early Intervention Service (EIS),"Young people who are living with domestic violence, missing classes at school or developing anti-social behaviour are counselled by project workers to stop the problems escalating. Based in police stations, the workers provide rapid assistance and support to divert young people from anti-social behaviour, ensure safety and reduce family conflict. They develop realistic, measurable action plans and provide support participants to reach goals. The project continue the work of an 18-month pilot scheme.",416493.0,2006-09-13,2006-09-30,The Royal Philanthropic Society Incorporating the Rainer Foundation,229132,360G-blf,The Big Lottery Fund
open sourc,360G-blf-0030044521,Pilot project to introduce Open Source IT,"This organisation provides education and training primarily in relation to information technology. The group also offer a recycling service of unwanted computer equipment and helps community organisations to obtain IT support and equipment. Funding will be used to provide voluntary organisations with Open Source IT software, Open Source is often free of charge and is a low cost alternative to Microsoft packages. This project will enable local community groups to access this free software.",5000.0,2006-03-31,2006-04-23,Community IT Academy,1106848,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030044521,Pilot project to introduce Open Source IT,"This organisation provides education and training primarily in relation to information technology. The group also offer a recycling service of unwanted computer equipment and helps community organisations to obtain IT support and equipment. Funding will be used to provide voluntary organisations with Open Source IT software, Open Source is often free of charge and is a low cost alternative to Microsoft packages. This project will enable local community groups to access this free software.",5000.0,2006-03-31,2006-04-23,Community IT Academy,1106848,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030048543,Resources and Equipment,"The project is to improve resources and technology in order to accommodate increased referral and work rates, so that more children and families will receive prompt assessment and intervention. A video camera will enable the organisation to undertake training, provide feedback for parents in teaching parenting skills, record keeping for training, publicity and presentation purposes, and to record contact sessions for assessment purposes.",5000.0,2006-03-31,2006-04-11,Pro-Contact Expert Services,1091496,360G-blf,The Big Lottery Fund
map,360G-blf-0030047984,Music Therapy,"The Chantry Trust was established in June 1977 to work with children with autism. Music therapy allows these children an opportunity to build a relationship with another person. Funding will allow the trust to employ a consultant to undertake a mapping service of existing provision across Brent, Harrow, Barnet and Enfield. The consultant would also communicate with potential partners and provide a development plan to help the charity provide additional music therapy support.",4000.0,2006-04-05,2006-04-18,The Chantry Trust,273378,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030039820,Communications & Technology Training,"This air cadedts offers training and development opportunities for young people aged between 13 and 18 in areas such as leadership, communications and technology. The group aims to purchase equipment to enable them to offer training courses of a higher standard than currently available.",5000.0,2006-06-22,2006-07-11,2459 (Poulton-le-Fylde) Squadron Air Training Corps,256391,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030040492,Improve IT facilities,With help from a Lottery grant Harting Village Pre-School will buy an interactive whiteboard. This will allow the pre-school to actively engage the children and introduce them to the technology that they will come across at school. The software will help to develop IT skills and offer creative play opportunities.,2526.0,2006-04-21,2006-05-09,Harting Village Pre-School Group,1020939,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030140655,Digital Futures,"A three year project that will enable young people to be involved in multi-media activities outside of school. Young people (YP) will gain skills in graphics, music production, sound, video, film and animation by working on long term projects. This project aims to open up opportunities available to young people (YP) in the creative technology sector. Funding will be used to recruit a Development Officer, fund freelance artists and to purchase specialist equipment to support this project.",107595.0,2006-06-12,2006-07-10,Rural Arts North Yorkshire,1081007,360G-blf,The Big Lottery Fund
measur,360G-blf-0030044671,Electronic Distance Measuring Apparatus,This athletics club will use funding to purchase an Electronic Distance Measuring apparatus for long distance throwing events. This will enable the group to record more accurate results and it will reduce the number of officials required to measure athletes performances.,5000.0,2006-06-19,2006-06-27,Gateshead Harriers and Athletics Club,1093956,360G-blf,The Big Lottery Fund
databas,360G-blf-0030048550,Information Resource and telephone support for M.E. sufferers,"This group will use funding to develop an information resource based on an easy to use database containing material from different sources, a library, to produce a guide for people living with ME in South East London. They will also pilot a one year telephone support system.",5000.0,2006-04-05,2006-04-18,South East London ME Support Group,1093659,360G-blf,The Big Lottery Fund
map,360G-blf-0030044001,Green Parish Plan,"An award would see the preparing and leading of walks, facilitating workshops, mapping and plan production, enabling local people to have a say in the future management and use of the green environment within their parish.",5000.0,2006-03-23,2006-04-07,Bedfordshire Rural Communities Charity,1061538,360G-blf,The Big Lottery Fund
databas,360G-blf-0030048777,Website upgrade,"Group will substantially upgrade their website by providing a searchable database containing information on local facilities, suppliers, support services and other resources for the deaf and hard-of-hearing community, enabling them to fully participate in their local community.",4750.0,2006-03-23,2006-04-07,Norfolk Deaf Association,210060,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030047057,To purchase computer,"With help from a Lottery grant Bucklebury Pre-School will buy a computer and printer. This new computer equipment will be used as a teaching resource that will help the children to develop their co-ordination skills, their creativity and help familiarise them with computer technology.",590.0,2006-03-30,2006-04-11,Bucklebury Pre-School,1018868,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030082894,Building Better Futures,"The Building Better Futures Project will provide a range of opportunities and a safe place for young people in East Brighton, especially the Whitehawk area. The activities will take place in a brand new community youth centre and will focus on equipping young people with a variety of modern media and technology skills that they can transfer into the working environment.",150000.0,2006-09-25,2007-04-01,The Crew Club,1098853,360G-blf,The Big Lottery Fund
measur,360G-blf-0030132557,"Supporting Advice: quality, access, sustainability","The Advice Services Alliance (ASA) was established in 1980, and is the umbrella organisation for independent advice services in the UK. This project will focus on developing common standards and creating outcome measures to demonstrate the effectiveness of advice to users and funders.",599256.0,2006-08-06,2006-11-14,The Advice Services Alliance,1112627,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030042332,New computer,This group provides sessional care for pre-school children. The project will provide a new up-to-date computer to allow children to explore technology within a pre-school setting.,800.0,2006-08-18,2006-09-04,Cogenhoe Playgroup,1027622,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030039132,There is no project name available for this record,This pre-school offers education and care to under 5's in the Wilburton area. An award will enable the group to purchase IT and moviemaking equipment that will give the children the opportunity to experience the use of technology.,1285.0,2006-07-21,2006-08-08,Humpty's Pre-School (Wilburton),1114042,360G-blf,The Big Lottery Fund
map,360G-blf-0030049233,Mapping Services,The group develops the community resource centre used by a number of groups in the area. The project will allow the group to carry out a mapping exercise before funding for a Community Liaison worker can be requested. The award is for all mapping exercise costs.,4426.0,2006-04-21,2006-05-08,The Hucknall and District Voluntary Sector Partnership,1109429,360G-blf,The Big Lottery Fund
data,360G-blf-0030042583,family history research,"St Just and District Trust is a registered charity whose aims are to educate the public in the geography, history and architecture of the area. Their project is to purchase a laptop computer on which they will data capture a record of the burials in the area. The laptop will be used by the community and visitors to research their ancestors and will, also, be taken to the elderly and disabled so they can access the information from home.",759.0,2006-07-18,2006-07-25,St Just & District Trust,1062870,360G-blf,The Big Lottery Fund
databas,360G-blf-0030040676,Coaching and equipment.,"The group puts on public performances of choral music. The project is to improve performances through voice coaching sessions and equipment, to improve its promotional material and to produce cds and tapes at a more affordable level. The award is for coaching, venue, laptop, software, staging, music commissions, website, database, promotion and uniforms.",5000.0,2006-04-21,2006-05-08,Louth Male Voice Choir,512252,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030038724,Extending the Range & Variety of Courses,"This organisation provide adult learning to members of the local community.  An award will enable them to extend the range and variety of courses, therefore increasing participation.  They will also be able to integrate more digital technology in to their courses making the courses more valuable, especially to older people.",3950.0,2006-08-23,2006-09-06,WEA,1112775,360G-blf,The Big Lottery Fund
databas,360G-blf-0030048790,New systems,"This group provides training for young black people to help them find employment. The project is to purchase and install a database to allow the group to effectively record and track trainees attendance, qualifications and employment details. Filing and archiving will also be improved through using the new system. The award is for a database.",5000.0,2006-04-21,2006-05-08,PATRA Incorporating ACDA Limited,518376,360G-blf,The Big Lottery Fund
map,360G-blf-0030043407,Exe Youth Participation Project,The centre will operate a partnership project with the Exminster Youth Project to map and respond to young people's involvement in healthy activities.,9975.0,2006-08-21,2006-08-29,The Westbank League of Friends,296125,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030042556,New Computer Equipment,This playgroup provides pre-school facilities for children aged 2-5 years.  The project is to purchase a computer and software in order to introduce children to computer technology.,1023.0,2006-08-23,2006-09-05,"North Cotes, Marshchapel and District Playgroup",1042356,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030042404,Shores D2P (Design to Print),"This community group provides a resource centre for the local community.  The project will create a print and design service for voluntary and community groups.  Training will also be provided to individuals in design, print and reprographics technology.",5008.0,2006-08-23,2006-09-05,Southern Holderness Resource Centre,1099462,360G-blf,The Big Lottery Fund
measur,360G-blf-0030048462,Refurbishment and Renewal,"A project to implement measures to make the Centre more energy efficient to cut down running costs and contribute to government energy saving targets, by this youth and community association in Willenhall. The grant will pay for replacing on-peak convector heaters with night storage heaters, alter light circuits to switches in offices independently and carpet the entrance hall.",5000.0,2006-04-24,2006-05-02,Willenhall Youth And Community Association/Centre,503912,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030046862,Digital Technology Workshops,This group's aim is to regenerate the former coal mining town of Amble. This award will allow the group to deliver a series of workshops focused around digital technology which will be showcased as a community event.,4719.0,2006-02-14,2006-02-21,Amble Development Trust,1051657,360G-blf,The Big Lottery Fund
databas,360G-blf-0030048274,Photographic archive,The group will purchase new computer equipment to enable better public access from their database of digital images.,2911.0,2006-04-26,2006-05-02,Totnes Image Bank,10825631,360G-blf,The Big Lottery Fund
map,360G-blf-0030041968,Focus on Forums,"This division of Age Concern will use a grant to organise a one-day event, with representatives from older people's forums in East Lincolnshire and speakers from voluntary and statutory service providers. The event will build on the work of previous seminars, which have mapped available older people's services, and will focus on issues related to their effective communication.",2598.0,2006-09-08,2006-09-25,Age UK Boston and South Holland,222875,360G-blf,The Big Lottery Fund
map,360G-blf-0030048416,Leaflets and Activities,"This group provides a service on a voluntary basis for adults with learning difficulties living on the Isle of Wight.  With an Awards for All grant it will work with service users to produce a DVD and booklet which raises awareness and will be available to potential clients, volunteers and referral agencies. With a camcorder and new p.c. it will also create life maps with the whole project culminating in a launch event and bringing service users together through film to demonstrate that they have choices.",4159.0,2006-03-30,2006-04-11,Isle of Wight Advocacy Trust,1106254,360G-blf,The Big Lottery Fund
databas,360G-blf-0030045058,Information data base for county geology students,"A new project will be set up within the group's regular work to create a database for young people, to inform and promote interest in pursuing a career in geoconservation.",4960.0,2006-03-30,2006-04-11,Gloucestershire Geoconservation Trust,1115272,360G-blf,The Big Lottery Fund
analysi,360G-blf-0030133970,Needs analysis in Dumfries and Galloway,Cumbria Deaf Association's idea is to consolidate and expand the service they offer in Dumfries and Galloway from the current intermittent service. The grant will fund staff and associated costs to undertake a needs analysis.,10000.0,2006-08-28,2006-09-19,Cumbria Deaf Association,1088406,360G-blf,The Big Lottery Fund
analysi,360G-blf-0030132059,Installing Modern Methods of Garbage Disposal,"A project in Saligao and Calangute villages in Goa, India, to undertake a feasibility study as to how an existing rubbish site can be cleaned up and installed with modern and safe methods of waste disposal and composting. Analysis of water samples will be taken to determine the extent of the pollution, as the rubbish site is spreading and starting to contaminate a ground-water supply used for drinking.",10000.0,2006-12-14,2007-01-08,John Lally International Foundation,1100100,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030122305,The NATHAN Project,Biomass heating systems will be installed at twelve National Trust properties. The systems will reduce annual carbon emissions by 1200 tonnes and provide opportunities to show the technology to 1.5 million annual visitors to these sites.,461707.0,2006-09-19,2007-01-26,The National Trust,205846,360G-blf,The Big Lottery Fund
data,360G-blf-0030045250,Additional IT equipment,This charity provides information to people and other organisations who carry out work to support the local community within Portsmouth.  With a Lottery grant it will improve its computer system to make the 2001 census data and Indices of Multiple Deprivation more accessible to other users so that they in turn can use the information in their work.,4938.0,2006-03-13,2006-03-28,Portsmouth Diocesan Council for Social Responsibility,238597,360G-blf,The Big Lottery Fund
data,360G-blf-0030041338,ADT Wirral,"The group wish to increase the response time to victims of crime, enabling volunteers to offer support at the time most needed. They will use an award to install new IT equipment capable of transferring data directly from Merseyside Police.",8890.0,2006-09-21,2006-10-03,Victim Support and Witness Service Merseyside,1099304,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030043234,Technology Accessibility,This charitable pre-school playgroup will provide interactive learning through the use of various information and communications technology  equipment. This will prepare children for transition into mainstream education where technology of this kind is widely used.,1583.0,2006-09-25,2006-10-09,Driffield Methodist Playgroup,1106493,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030011080,Smart Board Technology Package & Fitness Play,"The award is for a project to update the ICT equipment and physical play resources at this pre-school in Falmouth, Cornwall. The grant will pay for physical play equipment, and smartboard technology.",7213.0,2007-03-28,2007-03-30,Constantine Pre-School,1033714,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030012205,Community Science & Technology Week,"The award is for a project by a group in Trowbridge, Wiltshire to deliver a community science and technology week.  The project will be open to all in the community, and will include activities, experiments, demonstrations and exhibitions on various subjects such as astronomy, robots, rockets and forces. The grant will contribute towards materials, printing, certificates, and story stacks",2025.0,2007-03-28,2007-03-30,Friends of the Mead School,1093374,360G-blf,The Big Lottery Fund
data,360G-blf-0030132680,Strengthen and sustain democratic village self-governments in KMD,"An 11-month project, in the South West Province of Cameroon. The aim is to collect information and data on local government influence on village life and self-governance and to establish the effectiveness of local democratic organisations. To assess the capacity of the local partners to enable them to be in a position to manage the proposed larger programme effectively when the research has been compiled.",8250.0,2006-11-06,2006-12-01,Village Anvil,1115402,360G-blf,The Big Lottery Fund
analysi,360G-blf-0030133754,Orphanage and other developments projects in Deli and Chandigarh,"A project in Chandigarh, India to conduct a needs analysis and to identify and liaise with local partners. The aim is to research the need to develop a multi faceted community centre from which a variety of services will be provided to support abandoned and/or abused women and children from the surrounding villages and slums.",10000.0,2006-12-14,2007-01-08,Sunda Trust,1074526,360G-blf,The Big Lottery Fund
databas,360G-blf-0030134024,Unlocking Capability,"Training will provide former offenders with better financial awareness and money management skills, and they will be given the opportunity to open a bank account and access employment services. A database of companies offering non-discriminatory insurance products and mortgages to ex-offenders will be developed and maintained.",347225.0,2007-04-11,2007-06-01,Unlock - The National association of Ex-Offenders,1079046,360G-blf,The Big Lottery Fund
